Ti,Result
10,33.1845
11,36.388
12,40.7071
13,39.6173
14,35.0689
15,39.7574
16,34.5831
17,35.7882
18,35.9428
19,33.8658
20,34.6754
21,37.6734
22,33.8151
23,41.1955
24,35.5799
25,33.8937
26,36.9115
27,37.768
28,34.2795
29,34.265
30,38.7052
31,31.2887
32,38.3346
33,41.0307
34,39.0264
35,34.25
36,39.9657
37,40.2405
38,41.0734
39,33.3281
40,37.9511
41,37.1085
42,34.013
43,36.8603
44,36.2083
45,37.0475
46,33.73
47,38.2401
48,40.8459
49,32.8954
50,34.6116
51,39.2154
52,38.1257
53,36.1674
54,32.271
55,37.5176
56,41.7544
57,33.9417
58,38.1951
59,35.4926
60,37.7215
61,32.4578
62,33.9256
63,39.9599
64,36.6787
65,34.1006
66,42.8817
67,34.6531
68,37.2877
69,40.8628
70,39.8821
71,35.7496
72,36.644
73,36.801
74,33.7232
75,34.5209
76,40.1164
77,40.7801
78,38.2382
79,39.9254
80,44.2064
81,36.7865
82,34.0436
83,37.0162
84,35.8301
85,33.5303
86,39.6484
87,38.5161
88,34.7834
89,33.6125
90,41.3401
91,34.884
92,35.9558
93,32.248
94,31.4163
95,34.5436
96,33.0455
97,36.7985
98,36.84
99,36.7342
100,38.6601
101,34.7112
102,38.6806
103,39.3285
104,38.7571
105,35.2337
106,41.7114
107,35.5754
108,37.1328
109,42.7578
110,41.2665
111,33.7815
112,35.1729
113,35.9161
114,37.1057
115,32.5988
116,39.4169
117,39.7619
118,32.899
119,35.7849
120,33.686
121,36.1602
122,38.1979
123,39.4515
124,38.8871
125,42.0922
126,40.0676
127,37.5494
128,36.0306
129,37.4
130,38.8062
131,37.6171
132,38.0998
133,32.4359
134,40.9684
135,34.2692
136,34.3878
137,38.9709
138,36.4167
139,37.3808
140,36.5486
141,29.3282
142,32.1836
143,32.1645
144,37.0725
145,35.1582
146,38.3449
147,35.3532
148,35.2956
149,39.4403
150,37.8185
151,35.0942
152,36.8803
153,40.9317
154,39.9716
155,36.3396
156,34.8874
157,34.2607
158,33.0268
159,35.9678
160,40.2887
161,34.5693
162,35.1611
163,40.666
164,33.7039
165,38.4574
166,38.4736
167,33.8408
168,38.18
169,31.5745
170,33.0792
171,35.6618
172,37.9305
173,33.6275
174,34.9678
175,38.243
176,34.1058
177,35.3701
178,32.9683
179,34.781
180,35.9011
181,35.0111
182,36.5988
183,35.8655
184,39.5146
185,43.7456
186,39.3054
187,40.1724
188,42.0429
189,40.5567
190,37.8013
191,35.4989
192,38.3172
193,39.0165
194,36.147
195,38.0263
196,34.3006
197,36.3552
198,37.5102
199,40.6785
200,33.0868
